2012-03-30 17:04:58,013 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.localhost:test:1.0.0-BUILD-SNAPSHOT @ /home/harun/Documents/workspace/test/pom.xml.
2012-03-30 17:04:58,447 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.localhost:test:1.0.0-BUILD-SNAPSHOT @ /home/harun/Documents/workspace/test/pom.xml.
2012-03-30 17:05:07,392 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.localhost:test:1.0.0-BUILD-SNAPSHOT @ /home/harun/Documents/workspace/test/pom.xml.
2012-03-30 17:05:07,782 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-30 17:05:07,794 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2012-03-30 17:05:07,802 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-30 17:05:07,803 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2012-03-30 17:45:25,525 [Worker-25] INFO  o.m.i.e.w.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for test
2012-03-30 17:45:25,786 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.localhost:test:1.0.0-BUILD-SNAPSHOT @ /home/harun/Documents/workspace/test/pom.xml.
2012-03-30 17:45:25,976 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-30 17:45:25,978 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2012-03-30 17:45:25,980 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2012-03-30 17:45:25,981 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2012-03-30 17:45:54,017 [Worker-29] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/harun/Documents/workspace/test
